"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"1";"SM1";"2022-02-09";16;-1,43687212307804;0,9085009733939;-0,427032068726425;-0,424976152739494;-0,678289508955958;-0,29358380298172;12328;112;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"2";"SM1";"2022-03-28";17;-1,40173003507858;7,55424591481382;-0,427032068726425;-0,424976152739494;-0,678289508955958;-0,29358380298172;3733;282;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"3";"SM1";"2022-04-21";18;-1,36658794707912;1,40235457063712;0,784231107400626;-0,424976152739494;-0,678289508955958;-0,29358380298172;11552;162;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"4";"SM1";"2022-04-22";18;-1,36658794707912;0;1,30334389716936;-0,424976152739494;-0,678289508955958;-0,29358380298172;2520;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"5";"SM1";"2022-05-08";19;-1,33144585907965;0;2,51460707329641;-0,424976152739494;-0,678289508955958;-0,29358380298172;501;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"6";"SM1";"2022-05-31";19;-1,33144585907965;2,26244343891403;-0,773107261905582;-0,424976152739494;-0,678289508955958;-0,29358380298172;663;15;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"7";"SM1";"2022-06-06";20;-1,29630377108019;3,0755255644952;-0,600069665316003;-0,424976152739494;-0,678289508955958;-0,29358380298172;7706;237;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"8";"SM1";"2022-07-02";21;-1,26116168308073;2,43093922651934;-0,253994472136846;-0,424976152739494;-0,678289508955958;-0,29358380298172;10860;264;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"9";"SM1";"2022-09-16";23;-1,1908775070818;0;2,51460707329641;-0,289756467776927;-0,556836525082185;-0,29358380298172;3294;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"10";"SM1";"2022-09-17";23;-1,1908775070818;0;0,26511831763189;-0,289756467776927;-1,50416979929762;-0,29358380298172;8225;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"11";"SM1";"2022-09-19";23;-1,1908775070818;0,2909182899064;0,26511831763189;-0,289756467776927;-0,556836525082185;-0,29358380298172;15812;46;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"12";"SM1";"2022-09-20";23;-1,1908775070818;0;-0,427032068726425;-0,289756467776927;-0,556836525082185;-0,29358380298172;5627;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"13";"SM1";"2022-09-21";23;-1,1908775070818;3,2907196969697;-0,0809568755472673;-0,289756467776927;-0,556836525082185;-0,29358380298172;4224;139;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"14";"SM1";"2022-11-17";25;-1,12059333108288;1,34740624298226;-0,253994472136846;-0,289756467776927;-0,556836525082185;-0,29358380298172;4453;60;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"15";"SM1";"2022-11-20";25;-1,12059333108288;0;2,34156947670683;-0,289756467776927;-0,556836525082185;-0,29358380298172;4762;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"16";"SM1";"2022-11-21";25;-1,12059333108288;0;-0,773107261905582;-0,289756467776927;-0,556836525082185;-0,29358380298172;6002;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"17";"SM1";"2023-01-08";27;-1,05030915508395;4,49517120280948;1,47638149375894;-0,289756467776927;-0,556836525082185;-0,29358380298172;5695;256;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"18";"SM1";"2023-01-12";27;-1,05030915508395;0;-0,427032068726425;-0,289756467776927;-0,872614283153998;-0,29358380298172;2221;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"19";"SM1";"2023-01-24";27;-1,05030915508395;0;-0,946144858495161;-0,289756467776927;-0,556836525082185;-0,29358380298172;258;0;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"20";"SM1";"2023-01-25";27;-1,05030915508395;3,00437530384054;1,47638149375894;-0,289756467776927;-0,556836525082185;-0,29358380298172;10285;309;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
"21";"SM1";"2023-02-02";28;-1,01516706708449;1,54915303315477;1,13030630057978;-0,289756467776927;-0,556836525082185;-0,29358380298172;6907;107;"SUD";"M";"Yes";0,569642857142857;0,3875;0,605357142857143
