"";"X";"Time";"Focal";"Date";"X.7";"X.6";"X.5";"X.4";"X.3";"X.2.x";"Day.x";"Month.x";"Year.x";"Observer.x";"Group.x";"Party.composition.x";"Type_of_data.x";"NOTE";"Activity.x";"GRIMPE_TYPE";"PARTNER";"Joue.avec..";"PLAY";"FOOD_TYPE";"FOOD_SP";"CONTACT.MERE";"ACTIVITE.MERE";"Cluster.mere";"Type.de.nourriture.mere";"Observe.qui";"Activite.autre";"New.column";"Replication";"behaviour";"Success";"ROLE_TARGET";"PARTNER.1";"target.recoit.de.";"Target.agit.sur.";"Cluster";"TYPE";"Solicitation.mere";"Solicitation.autre";"Receveur";"Response.of.partner";"VOC.RECEVEUR.SOLICITATION";"ACTIVITE.AUTRE";"Vocalisation.AG";"X1m";"X5m";"DISTANCE.MERE";"TYPE.OF.DANGER";"Reaction.focal";"Partner";"Reaction.mother.1";"Reaction.mother.2";"Reaction.mother.3";"Reaction.mother.4";"Reaction.mother.5";"New.column.1";"Target.est..";"Comportement";"Vocalisation";"Partenaire";"Origine.de.vocalisation";"DEGREES";"Emetteur";"Receveur.voc";"Type.d.echantillon";"ID.echantillon";"Femelle.en.oestre";"Donneur";"Receveur.partage";"Type.de.partage";"Type.de.nourriture";"Copule.avec";"Intervention";"Symptomes";"Quantite";"Individus";"Blessures";"Aggression.";"Comportement.1";"Partner.AG";"Aggresseur";"Receveur.AG";"Group.activity";"Rencontre";"Etrangers";"Chasse";"Chasseur";"Observateur";"Donneur.1";"Attrapeur";"Proie";"Individus.chasses";"Partie.du.corps";"Qui.mange";"Rencontre.autre.espece";"Autre.espece";"Etat.de.l.autre.espece";"Interactions.autre.espece";"Interaction.acteur";"Individu.dans.l.interaction";"Patrouille";"Observations.indirecte";"New.column.2";"New.column.3";"Fin.de.donnee";"Type.de.point.GPS";"Femelle.en.oestre..fin.donnee.";"Food.manipulation";"FOOD_TYPE.1";"MO.interaction";"Aggression";"Visual.interaction";"context";"CLUSTER.MERE";"Date2";"X.1.x";"X.x";"PARTNER.3";"PARTNER.4";"SOLICITATION.1";"TYPE_PARTAGE";"ACTOR.PARTAGE";"RECEVEUR.PARTAGE";"PARTNER.6";"ACTOR";"Context";"Femelle.en.oestre.fin.de.donnee.";"Grimpe.porte";"ROLE.TARGET";"PARNTER.1";"Comportement.receveur";"Vocalisation.receveur.solicitation";"Partage";"Copulation";"Contact.avec.mere.1";"Activite.mere.1";"Comportement.receveur.1";"Ou.est.la.mere..1";"Commentaire";"NOTE.1";"Joue.avec";"ACTOR.VOC";"VOCALISATION";"PARTNER.AG";"response.of.partner";"Food.manipulation.1";"SOLICITATION";"Target.est";"RECEVEUR.AG";"Date.birth.new.baby.x";"Date.pregnancy.x";"Mother.pregnant.x";"Mother.reaction";"Approachfocal";"Lookfocal";"MotherSM";"MotherAB";"Grabfocal";"MotherNN";"Mother.ATorAW";"Mother.fuite";"Mother.GM";"approach.grab.offspring";"X.2.y";"X.y";"Group.y";"X.1.y";"X.x.1";"Activity.y";"Mother";"mean.party.size";"Observer.y";"Party.composition.y";"Type_of_data.y";"Matriline";"Sex";"attachment.type";"median_age";"Age.year";"Family";"Age.new";"Age.mother";"rank";"percentage.oestrus.yes";"party.size";"party.size.adult";"Date.birth.new.baby.y";"Date.pregnancy.y";"Mother.pregnant.y";"X.y.1";"Day.y";"Month.y";"Year.y";"Femelle.oestre";"mother.swelling";"days.pregnant";"months.pregnant";"danger.type";"Age.scale";"party.size.adult.scale";"Age.mother.round";"Age.mother.round.scale";"rank.scale";"party.size.scale";"Older.siblings";"presence.older.sibling";"Group";"months.pregnant.scale"
"1";1;"06:27:30";"SF6";"2022-04-04";258;258;19853;19853;19853;19853;4;4;2022;"Kim";"SUD";"EDO; ETO; INI; ISH; OFI; OPA; PEM; POE; RAJ; RAP; SOL";"Aggression";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"SM";NA;"Lookfocal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Contact";"OPA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"04/04/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2023-02-09";"2022-06-29";"No";"Look focal";0;1;0;0;0;0;0;0;0;0;51944;51944;"SUD";29198;29198;"";"EDO";9;"Kim";"MERE; ETO; INI; ISH; OFI; OPA; PEM; POE; RAJ; RAP; SOL";"Aggression";"EDO";"F";"Avoidant";58;4,833333333;"";58;19,25;0,615384615384615;100;11;7;"2023-02-09";"2022-06-29";"No";48;4;4;2022;"MERE; JUL; OPA; PEM";"Yes";0;0;"Focal receiver";0,196796401584123;-0,262493028166549;19;-1,03316627329182;0,282703753324596;-0,561357721758615;NA;"No";"SUD";-0,276551046904134
"2";2;"06:41:35";"SM8";"2022-10-04";396;396;30645;30645;30645;30645;4;10;2022;"Ele";"SUD";"HAV; HAI; ISH; KIG; BB KIN; KIN; LIM; LIR; BB LUC; LUC; OFI; OPA; BB OPA; RAJ; RAP; XEL; BB XEL; XIA; XOR; XYL; Inconnu";"Danger";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"Jeu";"PL";NA;"Attrapefocal";"Approachfocal";"Lookfocal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"04/10/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Attrape focal; Approach focal; Look focal";1;1;0;0;1;0;0;0;0;1;115009;115009;"SUD";44426;44426;"";"HAV";18;"Ele";"MERE; HAI; ISH; KIG; BB KIN; KIN; LIM; LIR; BB LUC; LUC; OFI; OPA; BB OPA; RAJ; RAP; XEL; BB XEL; XIA; XOR; XYL; Inconnu";"Danger";"HAV";"M";"Resistant";25;2,083333333;"";27;20,75;0,25;0;21;9;NA;NA;"No";116;4;10;2022;"NN";"No";0;0;"Play";-1,02128545388222;0,269223618632358;21;-0,728044271086014;-1,21780224827136;0,821612964902422;NA;"No";"SUD";-0,276551046904134
"3";3;"06:49:32";"NM17";"2022-10-13";767;767;57395;57395;57395;57395;13;10;2022;"Ele";"NORD";"NAO; MYS; MAM; NIG; NAK; NAR; NEO; BAR; FAU; POR; INCONNU";"Aggression";"mere approach 1m but nig run by from por";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"Fuite; SM";"";"Approachfocal";"Lookfocal";"AB";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"POR";NA;NA;NA;NA;NA;NA;"Non-contact with movement";"POR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"13/10/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Approach focal; Look focal; AB";1;1;0;1;0;0;0;0;0;1;34787;34787;"NORD";75419;75419;"";"NAO";15;"Ele";"MERE; MYS; MAM; NIG; NAK; NAR; NEO; BAR; FAU; POR; INCONNU";"Aggression";"NAO";"M";"2";90;7,5;"NEO; NAR; NAK; NOI";94;19,25;0,4;91,0636736191816;11;8;NA;NA;"No";155;13;10;2022;"NAR; FA1";"No";0;0;"Focal receiver";1,61134307244826;0,00336529523290449;19;-1,03316627329182;-0,601805047616178;-0,561357721758615;NA;"No";"NORD";-0,276551046904134
"4";4;"07:04:46";"SF27";"2022-08-10";1206;1206;93981;93981;93981;93981;10;8;2022;"Kim";"SUD";"XYL; IBR; XEL; XIA; XOR; XSO";"Danger";"Before danger; less than 1m away.";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"Jeu";"PL";NA;"Attrapefocal";"Lookfocal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"10/08/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Attrape focal; Look focal";0;1;0;0;1;0;0;0;0;1;97542;97542;"SUD";121084;121084;"";"XYL";6;"Kim";"MERE; IBR; XEL; XIA; XOR; XSO";"Danger";"XYL";"F";"Secure";38;3,166666667;"XEL; XSO; XOR";42;16,5833333333333;0,692307692307692;100;6;3;NA;NA;"No";237;10;8;2022;"MERE";"Yes";0;0;"Play";-0,431891007688828;-1,32592632176436;17;-1,33828827549763;0,598599753660588;-1,25284306508913;NA;"No";"SUD";-0,276551046904134
"5";5;"07:14:26";"SF14";"2022-09-16";632;632;48401;48401;48401;48401;16;9;2022;"Ele";"SUD";"EDO; ETO; INI; ISH; JAM; JAC; LIM; LIR; BB LUC; OFI; OPA; BB OPA; PEM; POE; PUS; RAJ; RAP; SOL; XEL; BB XEL; XIA; XOR; XSO; XYL; Inconnu";"Aggression";"7m before 3m after";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"Approach mere; SM";NA;"Approachfocal";"Lookfocal";"AB";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Unknown";"Inconnu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"16/09/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Approach focal; Look focal; AB";1;1;0;1;0;0;0;0;0;1;112741;112741;"SUD";65608;65608;"";"LUC";17;"Ele";"MERE; EDO; ETO; INI; ISH; JAM; JAC; LIM; LIR; BB LUC; OFI; OPA; BB OPA; PEM; POE; PUS; RAJ; RAP; SOL; XEL; BB XEL; XIA; XOR; XSO; XYL; Inconnu";"Aggression";"LUC";"F";"2";101;8,416666667;"LIM; BB LUC";106;23,6666666666667;0,166666666666667;0;26;12;NA;NA;"No";2;16;9;2022;"HAV; LUC; PEM; XYL";"No";0;0;"Focal receiver";2,08285862940297;1,06679858883072;24;-0,270361267777299;-1,56002291530202;1,51309830823294;NA;"No";"SUD";-0,276551046904134
"6";6;"07:17:44";"SF14";"2022-10-06";639;639;49208;49208;49208;49208;6;10;2022;"Ele";"SUD";"IBR; LIM; LIR; BB LUC; XEL; BB XEL; XIA; XOR; XSO; XYL; Inconnu";"Aggression";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"Fuite; SM";NA;"NN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Non-contact with movement";"XYL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"06/10/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"NN";0;0;0;0;0;1;0;0;0;0;115415;115415;"SUD";66408;66408;"";"LUC";15;"Ele";"MERE; IBR; LIM; LIR; BB LUC; XEL; BB XEL; XIA; XOR; XSO; XYL; Inconnu";"Aggression";"LUC";"F";"2";101;8,416666667;"LIM; BB LUC";107;23,75;0,166666666666667;35,7617773453337;12;5;NA;NA;"No";118;6;10;2022;"XYL";"No";0;0;"Focal receiver";2,12215159248253;-0,794209674965455;24;-0,270361267777299;-1,56002291530202;-0,423060653092511;NA;"No";"SUD";-0,276551046904134
"7";7;"07:17:55";"SM19";"2022-10-07";816;816;61998;61998;61998;61998;7;10;2022;"Ele";"SUD";"IBR; JAM; OFI; BB OPA";"Aggression";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"Fuite";NA;"NN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Non-contact without movement";"IBR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"07/10/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2022-09-05";"2022-01-23";"No";"NN";0;0;0;0;0;1;0;0;0;0;115820;115820;"SUD";79972;79972;"";"OPA";15;"Ele";"MERE; IBR; JAM; OFI; BB OPA";"Aggression";"OPA";"M";"Secure";69;5,75;"";69;22,75;0,0833333333333333;84,0121756776344;5;2;"2022-09-05";"2022-01-23";"No";167;7;10;2022;"XYL";"No";0;0;"Focal receiver";0,629018995459276;-1,59178464516381;23;-0,422922268880204;-1,90224358233268;-1,39114013375524;NA;"No";"SUD";-0,276551046904134
"8";8;"07:34:04";"NM17";"2022-06-12";759;759;57001;57001;57001;57001;12;6;2022;"Ele";"NORD";"NAO; MYS; MAM; NIG; NAK; NAR; NEO; BAR; FA1; INCONNU";"Aggression";"approach from 2 m distance before 7m";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"SM";"";"Approachfocal";"Lookfocal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"MAM";NA;NA;NA;NA;NA;NA;"Unknown";"MAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;"12/06/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Approach focal; Look focal";1;1;0;0;0;0;0;0;0;1;32330;32330;"NORD";75029;75029;"";"NAO";7;"Ele";"MERE; MYS; MAM; NIG; NAK; NAR; NEO; BAR; FA1; INCONNU";"Aggression";"NAO";"M";"2";90;7,5;"NEO; NAR; NAK; NOI";90;18,9166666666667;0,4;46,2208557519857;10;7;NA;NA;"No";151;12;6;2022;"MYS; FA1";"No";0;0;"Focal receiver";1,45417122013002;-0,262493028166549;19;-1,03316627329182;-0,601805047616178;-0,699654790424719;NA;"No";"NORD";-0,276551046904134
"9";9;"07:35:47";"SF2";"2023-01-12";1369;1369;107562;107562;107562;107562;12;1;2023;"Oscar";"SUD";"ASA; AKI; AKU; AYA; EDO; ETO; PEM; POE; PUS; XEL; BB XEL; XOR; XSO; XYL; XIA; Inconnu";"Aggression";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"";"PL";"";"Lookfocal";"AWorAT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Focal receiver";NA;NA;NA;NA;2815;2815;NA;NA;NA;NA;NA;NA;"XSO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Look focal; AW or AT";0;1;0;0;0;0;1;0;0;0;125668;125668;"SUD";9990;9990;"";"ASA";18;"Oscar";"MERE; AKI; AKU; AYA; EDO; ETO; PEM; POE; PUS; XEL; BB XEL; XOR; XSO; XYL; XIA; Inconnu";"Aggression";"ASA";"F";"1";66;5,5;"AKI; AKU";70;25;0,333333333333333;0;16;7;NA;NA;"No";264;12;1;2023;"LUC";"No";0;0;"Focal receiver";0,668311958538836;-0,262493028166549;25;-0,117800266674395;-0,875581581240706;0,130127621571903;"AKI";"Yes";"SUD";-0,276551046904134
"10";10;"07:39:27";"SF27";"2022-05-03";1173;1173;91412;91412;91412;91412;3;5;2022;"Kim";"SUD";"XYL; HAI; HAV; IBR; INI; ISH; JAM; JUL; OFI; OPA; PUS; RAJ; RAP; XEL; XIA; XOR; XSO";"Danger";"";"";NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;"Jeu";"PL";NA;"Lookfocal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"03/05/2022";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No";"Look focal";0;1;0;0;0;0;0;0;0;0;70713;70713;"SUD";118534;118534;"";"XYL";15;"Kim";"MERE; HAI; HAV; IBR; INI; ISH; JAM; JUL; OFI; OPA; PUS; RAJ; RAP; XEL; XIA; XOR; XSO";"Danger";"XYL";"F";"Secure";38;3,166666667;"XEL; XSO; XOR";39;16,3333333333333;0,692307692307692;0;17;9;NA;NA;"No";245;3;5;2022;"UAP; XYL";"No";0;0;"Play";-0,549769896927507;0,269223618632358;16;-1,49084927660054;0,598599753660588;0,268424690238007;NA;"No";"SUD";-0,276551046904134
