"";"PC1";"PC2";"PC3";"PC4";"PC5"
"EF7";0,11577286765503;-0,0399146854338136;-0,0513919694315314;-0,0393840882297223;0,0497311974614723
"EM10";-0,0914414940125658;-0,103100945333492;0,010403248812332;0,268474660589134;-0,037857989201082
"EM20";0,209908533224626;-0,14224944128606;0,244306246821252;-0,11647525233991;-0,0578649992760132
"EM30";0,353498389368397;-0,119084759335421;0,109152925666732;-0,0996993365328853;0,0502913113148367
"EM5";0,117536260528934;0,114057634654834;-0,37812712351552;-0,0829402363183543;0,00483007382068074
"EM9";-0,0208846479369188;0,0955053947858992;0,193533143787335;0,0567742606300081;-0,0385305956506823
"NF23";-0,0163399028187255;-0,0289599936478876;-0,145970755167414;0,0499399794854531;0,0256758059433592
"NM15";0,021061442376905;-0,221474585178018;-0,0891823221514632;-0,102119308010122;0,00227156399597716
"NM16";-0,450475216043879;0,156131091306938;0,0524422231441541;-0,040729807674519;0,0206725808317389
"SF27";0,0564402356072173;-0,0571267945764344;0,023110675610972;0,195801194999099;0,0323667576065049
"SF6";-0,292465047963761;0,426184032202766;0,00989082818409753;-0,190286445020034;-0,00477095449920685
"SM1";-0,0990566296579435;-0,195325537102848;-0,0302085866477048;-0,0916077557822879;-0,0689575758407079
"SM19";-0,199395326586117;0,250879009346665;0,0487361331371546;-0,0723631629353834;-0,0109335779782852
"SM22";0,540140704773234;0,375061046476076;0,0940347758305332;0,191601636722456;-0,0267077281735136
"SM25";-0,272083467825367;-0,16581970176739;0,299509622711625;0,0846391211432018;0,073455409336317
"SM26";-0,199669374589056;-0,0805207206729717;-0,251746964425285;0,290022541470252;-0,0134782871751823
"SM28";0,292070262758415;0,0222927105122872;-0,088496131995621;-0,134283402237318;0,0362677026722087
"SM8";-0,0646175888584243;-0,286533754951127;-0,0499959703716485;-0,167364599959067;-0,0364606951884223
